OBJECTID,SPECIES_CD_1,PROJ_AGE_1,PROJ_HEIGHT_1,LIVE_VOL_PER_HA_SPP1_125
2352,CW,277,28.2999992,169.553
2353,CW,227,21.2000008,97.877
2354,CW,282,16.1000004,54.016
2355,CW,307,17.1000004,51.543
2356,CW,267,15.1000004,56.365
2357,CW,177,11.1999998,0
2358,HW,357,40.2000008,387.559
2359,CW,307,20.1000004,74.715
2360,CW,257,22.2000008,46.195
2361,SS,223,38.2000008,462.254
2362,HW,247,21.2000008,139.064
2363,HW,247,27.2999992,213.731
2364,SS,9,2.0999999,0
2365,,0,0,0
2366,HW,297,32.2000008,282.286
2367,CW,227,20.2000008,74.519
2368,HW,18,8.6999998,5.67
2369,DR,77,23.3999996,243.036
2370,CW,307,26.2000008,177.08
2371,PLC,122,3.7,0
2372,CW,357,16.1000004,51.408
2373,HW,327,35.2000008,388.191
2374,CW,332,22.1000004,101.692
2375,HW,357,38.2000008,592.426
2376,CW,217,11.1000004,2.961
2377,PLC,127,5.3000002,0
2378,CW,332,18.1000004,74.644
2379,HW,207,19.2999992,134.162
2380,HW,5,0.8,0
2381,CW,332,21.1000004,78.773
2382,SS,4,0.4,0
2383,CW,267,30.2999992,152.636
2384,DR,47,14.8000002,91.786
2385,HW,307,28.2000008,263.306
2386,CW,357,25.1000004,126.789
2387,CW,332,19.1000004,81.204
2388,CW,227,17.2000008,75.885
2389,CW,357,28.1000004,155.224
2390,DR,77,21.3999996,141.809
2391,HW,227,21.2999992,171.602
2392,HW,262,14.1000004,55.06
2393,CW,257,19.2000008,69.434
2394,CW,332,18.1000004,96.394
2395,HW,247,28.2999992,302.334
2396,CW,247,17.2000008,79.526
2397,HW,18,5.9000001,0
2398,HW,357,37.2000008,443.345
2399,YC,247,10.1000004,29.94
2400,CW,307,19.1000004,77.236
2401,CW,222,16.2000008,50.964
2402,CW,227,24.2999992,159.1
2403,CW,307,19.1000004,62.783
2404,CW,187,23.2999992,123.937
2405,CW,357,20.1000004,87.114
2406,CW,282,16.1000004,59.557
2407,YC,287,11.1000004,25.511
2408,HW,38,16.2000008,77.19
2409,HW,15,4.0999999,0
2410,HW,357,32.2000008,220.271
2411,CW,307,18.1000004,69.764
2412,HW,247,25.2999992,195.726
2413,CW,257,14.1000004,63.369
2414,CW,177,13.1999998,6.358
2415,CW,237,20.2000008,104.037
2416,CW,107,7.1999998,0.96
2417,HW,267,25.2000008,161.435
2418,HW,332,35.2000008,279.723
2419,HW,36,14.5,30.814
2420,CW,227,14.1999998,60.347
2421,SS,307,36.2999992,383.412
2422,HW,247,30.2999992,348.734
2423,HW,227,31.3999996,397.099
2424,HW,307,33.2000008,303.307
2425,CW,147,4.0999999,0
2426,CW,257,16.1000004,44.965
2427,CW,207,12.1000004,5.781
2428,SS,17,4.5,0
2429,HW,257,30.2999992,259.926
2430,DR,87,24.2999992,219.545
2431,CW,207,21.2000008,98.062
2432,PLC,127,8.3000002,0.279
2433,HW,357,32.2000008,259.303
2434,CW,257,18.2000008,79.038
2435,CW,207,22.2000008,88.966
2436,CW,167,16.2999992,48.136
2437,HW,327,34.2000008,393.308
2438,HW,347,37.2000008,525.766
2439,HW,387,43.2000008,537.193
